No,Level,Kode_Acuan,Kode_2025,Judul_2025,Cakupan_2025,Tidak_Cakupan_2025,Kode_2020,Judul_2020,Cakupan_2020,Tidak_Cakupan_2020,Status
33,Sub Golongan,119,119,PERTANIAN TANAMAN SEMUSIM LAINNYA,,,119,PERTANIAN TANAMAN SEMUSIM LAINNYA,"Subgolongan ini mencakup pertanian tanaman semusim yang lain : - Pertanian sewede, mangold, akar-akaran untuk makanan hewan, semanggi, alfalfa, saifoin, tanaman jagung (maize) dan rumput-rumputan lainnya, makanan ternak dan sejenisnya - Pembibitan bit (tidak termasuk bit gula) dan bibit tanaman untuk makanan ternak - Pertanian bunga, termasuk produksi bunga potong dan kuncup bunga - Pembibitan bunga","Sub golongan ini tidak mencakup : - Pertanian tanaman semusim, seperti tanaman rempah-rempah, aromatik, narkotika dan tanaman obat-obatan, lihat 0128",TETAP (judul sama)
34,Kelompok (Kode KBLI),1191,1191,PERTANIAN TANAMAN PAKAN TERNAK,"Kelompok ini mencakup kegiatan pertanian tanaman pakan ternak untuk memproduksi hijauan pakan ternak yang meliputi rumput pakan ternak dan tanaman legum/kacang-kacangan, seperti rumput gajah, rumput raja, rumput odot, rumput setaria, alfalfa, lamtoro, dan Indigoferea zollingeriana. Kegiatan pertanian tanaman pakan ternak yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1191,PERTANIAN TANAMAN PAKAN TERNAK,"Kelompok ini mencakup bidang usaha produksi hijauan pakan ternak mulai dari kegiatan penyiapan dan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pengolahan pasca panen. Meliputi rumput pakan ternak dan leguminosa/kacang-kacangan tanaman pakan ternak seperti Rumput Gajah, Rumput Raja, Rumput Odot, Rumput Setaria, Alfalfa, Kaliandra, Gamal, Lamtoro, Indigofera Zollingeriana dll.",,TETAP (judul sama)
35,Kelompok (Kode KBLI),1192,1192,PEMBENIHAN TANAMAN PAKAN TERNAK DAN PEMBENIHAN BIT (BUKAN BIT GULA),"Kelompok ini mencakup kegiatan pembenihan tanaman pakan ternak dan pembenihan bit (bukan bit gula) untuk menghasilkan benih berupa biji, yang mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Tanaman pakan ternak meliputi rumput pakan ternak dan tanaman legum/kacang-kacangan pakan ternak, seperti rumput gajah, rumput raja, rumput odot, rumput setaria, alfalfa, kaliandra, gamal, lamtoro, dan Indigofera zollingeriana",,1192,PERBENIHAN TANAMAN PAKAN TERNAK DAN PEMBIBITAN BIT (BUKAN BIT GULA),"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan dan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pengolahan pascapanen, perbenihan tanaman pakan ternak dan pembibitan bit (bukan bit gula). Perbenihan tanaman pakan ternak meliputi rumput pakan ternak dan leguminosa/kacang-kacangan tanaman pakan ternak seperti Rumput Gajah, Rumput Raja, Rumput Odot, Rumput Setaria, Alfalfa, Kaliandra, Gamal, Lamtoro, Indigofera Zollingeriana dll.",,BERUBAH (judul/definisi berbeda)
36,Kelompok (Kode KBLI),1193,1193,PERTANIAN TANAMAN BUNGA,"Kelompok ini mencakup kegiatan pertanian tanaman bunga yang memproduksi bunga potong dan kuncup bunga, misalnya anggrek, anyelir, gerbera/hebras, gladiol, krisan, mawar, melati, dan sedap malam. Kegiatan pertanian tanaman bunga yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan","Kelompok ini tidak mencakup kegiatan pertanian tanaman bunga yang memproduksi tanaman bunga hidup,lihat golongan 013",1193,PERTANIAN TANAMAN BUNGA,"Kelompok ini mencakup pertanian tanaman bunga, yang produksinya adalah bunga potong dan kuncup bunga. Tanaman bunga pada kelompok ini misalnya anggrek, anyelir, gerbera/hebras, gladiol, krisan, mawar, melati, sedap malam dan tanaman bunga lainnya. Termasuk tanaman bunga lainnya yang diambil bunganya. Pertanian tanaman bunga yang hasilnya adalah tanaman bunga hidup masuk ke golongan 013.",,TETAP (judul sama)
37,Kelompok (Kode KBLI),1194,1194,PERTANIAN PEMBENIHAN TANAMAN BUNGA,"Kelompok ini mencakup kegiatan pertanian pembenihan tanaman bunga untuk menghasilkan benih berupa biji. Produksi semua jenis bahan tanam vegetatif termasuk batang stek, tunas, dan bibit untuk perbanyakan tanaman bunga masuk di subgolongan 0130",,1194,PERTANIAN PEMBIBITAN TANAMAN BUNGA,Kelompok ini mencakup usaha pertanian pembibitan tanaman bunga.,,BERUBAH (judul/definisi berbeda)
38,Kelompok (Kode KBLI),1199,1199,PERTANIAN TANAMAN SEMUSIM LAINNYA YTDL,Kelompok ini mencakup kegiatan pertanian tanaman semusim lainnya yang belum terklasifikasi di tempat lain dan kegiatan penanaman untuk menghasilkan benih berupa biji,,1199,PERTANIAN TANAMAN SEMUSIM LAINNYA YTDL,Kelompok ini mencakup pertanian tanaman semusim lainnya yang belum terklasifikasi di tempat lain dan kegiatan pembibitannya.,,TETAP (judul sama)
39,Golongan,12,12,PERTANIAN TANAMAN TAHUNAN,,,12,PERTANIAN TANAMAN TAHUNAN,"Golongan ini mencakup penanaman tanaman yang berlangsung lebih dari dua musim tanam, baik tanaman yang setiap musim mati atau tanaman yang tumbuh terus menerus. Termasuk penanaman tanaman untuk keperluan pembibitan dan pembenihan. Golongan ini juga mencakup kegiatan penanaman tanaman ini di area atau lokasi hutan.",,TETAP (judul sama)
40,Sub Golongan,121,121,PERTANIAN BUAH ANGGUR,,,121,PERTANIAN BUAH ANGGUR,Subgolongan ini mencakup : - Pertanian buah anggur untuk bahan minuman (wine) dan buah anggur di kebun anggur,"Subgolongan ini tidak mencakup : - Industri minuman anggur (wine), lihat 1102",TETAP (judul sama)
41,Kelompok (Kode KBLI),1210,1210,PERTANIAN BUAH ANGGUR,"Kelompok ini mencakup kegiatan pertanian buah anggur untuk konsumsi langsung atau untuk memproduksi wine, jus, cuka, dan buah yang dikeringkan, seperti kismis, zante currants, dan sultana. Pertanian buah anggur yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup penanaman tanaman anggur untuk menghasilkan benih berupa biji","1. pembuatan D141 lihat kelompok 11020;                                                2. pengolahan dan pengawetan anggur, lihat subgolongan 1030",1210,PERTANIAN BUAH ANGGUR,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah anggur. Termasuk kegiatan pembibitan dan pembenihan tanaman buah anggur.",,TETAP (judul sama)
42,Sub Golongan,122,122,PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS,,,122,PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS,"Subgolongan ini mencakup : - Pertanian buah tropis dan subtropis, seperti alpukat, pisang dan pisang raja, kurma, buah ara, mangga, pepaya, nanas dan buah tropis dan subtropis lainnya",,TETAP (judul sama)
43,Kelompok (Kode KBLI),1220,1220,PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS,"Kelompok ini mencakup kegiatan pertanian buah-buahan tropis dan subtropis, seperti alpukat, pisang dan pisang raja, kurma, buah ara, pepaya, nanas, rambutan, durian, duku, jambu biji, jambu air, lengkeng, nangka, mangga, manggis, sawo, belimbing, salak, sirsak, dan buah naga. Pertanian buah-buahan tropis dan subtropis yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman buah tropis dan subtropis untuk menghasilkan benih berupa biji",,1220,PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah-buahan tropis dan subtropis, seperti rambutan, alpukat, durian, duku, pisang dan pisang raja, kurma, buah ara, pepaya, jambu biji, jambu air, lengkeng, nangka, nenas, mangga, manggis, sawo, belimbing, salak, sirsak, buah naga dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buat tropis dan subtropis.",,TETAP (judul sama)
44,Sub Golongan,123,123,PERTANIAN BUAH JERUK,,,123,PERTANIAN BUAH JERUK,"Subgolongan ini mencakup : - Pertanian buah jeruk, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, tangerin, mandarin dan clementine, dan buah jeruk lainnya",,TETAP (judul sama)
45,Kelompok (Kode KBLI),1230,1230,PERTANIAN BUAH JERUK,"Kelompok ini mencakup pertanian buah jeruk, seperti jeruk bali, jeruk lemon, jeruk nipis, limau, jeruk siam, jeruk keprok, jeruk mandarin, tangerine, dan clementine. Pertanian buah jeruk yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman jeruk untuk menghasilkan benih berupa biji",,1230,PERTANIAN BUAH JERUK,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah jeruk besar dan jeruk keprok atau jeruk siam, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, jeruk keprok, jeruk tangerin, jeruk mandarin dan clementine, dan buah jeruk lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah jeruk.",,TETAP (judul sama)
46,Sub Golongan,124,124,PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS),,,124,PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS),"Subgolongan ini mencakup : - Pertanian buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa dan buah delima, dan buah batu lainnya",,TETAP (judul sama)
47,Kelompok (Kode KBLI),1240,1240,PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS),"Kelompok ini mencakup kegiatan pertanian buah apel dan buah batu (pome and stone fruits), seperti aprikot, ceri, persik, nektarin, pir, quince, plum, sloe, markisa, kepel, terong belanda, dan buah delima. Pertanian buah apel dan buah batu yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman apel dan buah batu untuk menghasilkan benih berupa biji.",,1240,PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS),"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa, kepel, terong Belanda dan buah delima, dan buah batu lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah apel dan buah batu.",,TETAP (judul sama)
48,Sub Golongan,125,125,"PERTANIAN SAYURAN TAHUNAN, BUAH SEMAK, DAN BUAH BIJI KACANG-KACANGAN",,,125,PERTANIAN SAYURAN DAN BUAH SEMAK DAN BUAH BIJI KACANG-KACANGAN LAINNYA,"Subgolongan ini mencakup : - Pertanian buah beri, seperti blueberry, kismis, gooseberry, kiwi, raspberry, strawberry dan beri lainnya - Pembibitan buah - Pertanian tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang-kacangan yang lain - Pertanian pohon dan tanaman buah semak lainnya - Locust beans","Subgolongan ini tidak mencakup : - Perkebunan kelapa, lihat 0126",BERUBAH (judul/definisi berbeda)
49,Kelompok (Kode KBLI),1251,1251,PERTANIAN BUAH BERI,"Kelompok ini mencakup kegiatan pertanian buah beri seperti bluberi, kismis (currants), gooseberry, kiwi, rasberi, dan stroberi. Pertanian buah beri yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman beri untuk menghasilkan benih berupa biji",,1251,PERTANIAN BUAH BERI,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah beri, seperti blueberry, gooseberry, kiwi, raspberry, strawberry dan beri lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah beri.",,TETAP (judul sama)
50,Kelompok (Kode KBLI),1252,1252,PERTANIAN BUAH BIJI KACANG-KACANGAN,"Kelompok ini mencakup kegiatan pertanian tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almon, kacang mete, chestnut, kenari (walnut), kacang hazel, dan kacang pistasio. Pertanian buah biji kacang-kacangan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1252,PERTANIAN BUAH BIJI KACANG-KACANGAN,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang-kacangan yang lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah biji kacang-kacangan.",,TETAP (judul sama)
51,Kelompok (Kode KBLI),1253,1253,PERTANIAN SAYURAN TAHUNAN,"Kelompok ini mencakup kegiatan pertanian tanaman sayuran tahunan, seperti kluwih/timbul, sukun, nangka sayur, petai, jengkol, dan melinjo. Pertanian sayuran tahunan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman sayuran tahunan untuk menghasilkan benih berupa biji",,1253,PERTANIAN SAYURAN TAHUNAN,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman sayuran tahunan, seperti kluwih atau timbul, sukun, nangka sayur, petai, jengkol, melinjo dan sejenisnya. Kegiatan pembibitan dan pembenihan tanaman sayuran tahunan.",,TETAP (judul sama)
52,Kelompok (Kode KBLI),1259,1259,PERTANIAN BUAH SEMAK LAINNYA,"Kelompok ini mencakup kegiatan pertanian tanaman semak lainnya, seperti kacang lokus/locust beans, termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1259,PERTANIAN BUAH SEMAK LAINNYA,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah semak lainnya, termasuk locust beans. Termasuk kegiatan pembibitan dan pembenihan tanaman buah semak lainnya.",,TETAP (judul sama)
53,Sub Golongan,126,126,PERTANIAN BUAH-BUAHAN PENGHASIL MINYAK (OLEAGIN),,,126,PERKEBUNAN BUAH-BUAHAN PENGHASIL MINYAK (OLEAGINOUS),"Subgolongan ini mencakup : - Perkebunan buah oleaginous, seperti kelapa, buah zaitun, kelapa sawit dan buah oleaginous lain","Subgolongan ini tidak mencakup : - Pertanian kedelai, kacang tanah, dan biji penghasil minyak lainnya, lihat 0111",BERUBAH (judul/definisi berbeda)
54,Kelompok (Kode KBLI),1261,1261,PERTANIAN KELAPA,"Kelompok ini mencakup kegiatan pertanian kelapa, termasuk di dalamnya kegiatan pengolahan lahan, pembibitan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman kelapa untuk menghasilkan benih berupa biji",,1261,PERKEBUNAN BUAH KELAPA,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa.",,BERUBAH (judul/definisi berbeda)
55,Kelompok (Kode KBLI),1262,1262,PERTANIAN KELAPA SAWIT,"Kelompok ini mencakup kegiatan pertanian kelapa sawit, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman kelapa sawit untuk menghasilkan benih berupa biji",,1262,PERKEBUNAN BUAH KELAPA SAWIT,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa sawit. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa sawit.",,BERUBAH (judul/definisi berbeda)
56,Kelompok (Kode KBLI),1269,1269,PERTANIAN BUAH OLEAGIN LAINNYA,"Kelompok ini mencakup kegiatan pertanian buah oleagin lainnya, seperti zaitun, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman oleagin lainnya untuk menghasilkan benih berupa biji",,1269,PERKEBUNAN BUAH OLEAGINOUS LAINNYA,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah oleaginous lain, seperti buah zaitun dan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah oleoginous lainnya.",,BERUBAH (judul/definisi berbeda)
57,Sub Golongan,127,127,PERTANIAN TANAMAN UNTUK BAHAN MINUMAN,,,127,PERTANIAN TANAMAN UNTUK BAHAN MINUMAN,"Subgolongan ini mencakup : - Pertanian tanaman untuk bahan minuman, seperti kopi, teh, mate, kakao dan tanaman untuk bahan minuman lainnya",,TETAP (judul sama)
58,Kelompok (Kode KBLI),1270,,,,,1270,PERTANIAN TANAMAN UNTUK BAHAN MINUMAN,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman untuk bahan minuman, seperti tanaman kopi, teh, mate dan kakao. Termasuk kegiatan pembibitan dan pembenihan tanaman untuk bahan minuman.",,DIHAPUS (hanya ada di KBLI 2020)
59,Kelompok (Kode KBLI),1271,1271,PERTANIAN KOPI,"Kelompok ini mencakup kegiatan pertanian kopi, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,,,,,BARU (hanya ada di KBLI 2025)
60,Kelompok (Kode KBLI),1272,1272,PERTANIAN TANAMAN TEH,"Kelompok ini mencakup kegiatan pertanian teh, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman teh untuk menghasilkan benih berupa biji",,,,,,BARU (hanya ada di KBLI 2025)
